TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK
1610612745,Houston Rockets,53,33,20,0.623,48.7,40.3,88,0.458,12.3,35.1,0.349,16.8,22.2,0.754,11.5,28.3,39.8,24.5,13.6,9,4.8,5.8,20.4,18.6,109.6,-5,24,9,5,7,2,7,11,5,5,4,7,3,6,2,13,1,2,2,22,23,16,3,17,29,4,6
1610612754,Indiana Pacers,55,15,40,0.273,48.3,43.1,89.1,0.483,11.5,33.3,0.346,20.9,27.3,0.766,11.2,35.9,47.1,25.6,13.9,7.6,4.7,4.8,20.7,21.9,118.6,7.5,9,26,28,27,13,23,14,26,1,3,2,28,28,3,10,30,27,9,18,5,13,16,21,3,24,27
1610612746,LA Clippers,54,26,28,0.481,48.3,40.8,87.6,0.466,13.5,36.9,0.367,17.2,21.5,0.8,11.5,30.5,42,25.9,13.6,9,4.8,4.7,19.7,18.7,112.3,0.4,18,18,17,18,12,9,8,12,19,15,24,6,3,27,16,5,6,10,21,25,15,18,11,28,9,18
1610612747,Los Angeles Lakers,54,33,21,0.611,48,42.8,88,0.486,13.4,36.9,0.364,17,21.6,0.786,10.7,29.8,40.6,27.5,14.6,9.2,3.5,4,21.3,18.9,116,0,18,9,8,9,30,22,10,27,18,16,21,5,4,18,6,4,3,24,15,28,1,28,26,26,18,16
1610612763,Memphis Grizzlies,53,20,33,0.377,48.2,42.7,91.1,0.469,14.3,39.6,0.361,17.8,22.5,0.791,11.8,33.2,45,27.1,14.9,8.6,4.9,5,20.2,20.1,117.5,2.2,24,23,23,23,18,19,24,15,26,28,18,11,10,20,21,20,23,19,13,15,17,13,16,15,22,21
1610612748,Miami Heat,56,29,27,0.518,48.1,42.7,93.3,0.458,13.8,39.6,0.347,18,22.3,0.807,11.9,35.5,47.4,27.1,15.7,8.1,5.3,4.2,20.2,18.9,117.2,-2.4,1,14,16,16,29,20,29,6,20,27,6,12,7,30,23,29,29,18,8,12,22,24,14,25,20,10
1610612749,Milwaukee Bucks,53,23,30,0.434,48.3,40.8,87.9,0.464,14.4,39.1,0.368,19.2,24.6,0.782,11,33.6,44.6,27,13.2,8.4,4.2,4.1,18.1,20.1,115.2,3.4,24,22,20,22,9,8,9,11,27,26,25,21,22,14,8,24,17,17,27,14,4,26,2,14,14,22
1610612750,Minnesota Timberwolves,56,34,22,0.607,48.3,41.4,89.7,0.462,12.6,35.2,0.358,19.3,24.8,0.776,11.3,31.9,43.2,26.1,15.2,8.1,3.9,5.7,20.9,21.3,114.8,-4.9,1,7,10,10,16,11,19,9,8,5,13,22,24,5,11,11,12,11,11,11,2,6,23,5,12,7
1610612740,New Orleans Pelicans,56,15,41,0.268,48.4,43.8,91.5,0.478,14.6,41.2,0.354,18.3,23.4,0.781,12.6,33.4,46,28.2,14.8,7.7,5.9,4.7,20.1,19.9,120.4,5.8,1,26,29,28,7,25,26,23,29,29,10,15,15,13,29,23,25,27,14,7,28,19,13,19,26,25
1610612752,New York Knicks,55,35,20,0.636,48.3,39.9,86.8,0.459,13.8,38.7,0.357,18.3,23.6,0.777,10.2,31.5,41.6,24.6,14.1,7.1,4.6,4.1,19.5,20.4,111.9,-6.2,9,4,5,5,13,4,6,7,21,23,12,16,16,7,2,9,5,3,17,2,10,27,9,9,6,4
